record_id,abstract_id,abstract_uri,weak_labels,weak_category,weak_severity,annotator_1_labels,annotator_2_labels,final_adjudicated_labels,annotator_1_category,annotator_2_category,final_adjudicated_category,inclusion_flag,exclusion_reason,confidence,adjudication_notes,comments,validation_status,created_at_utc
abstract_62190582,62190582,http://example.org/abstract62190582,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_29579806,29579806,http://example.org/abstract29579806,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54449517,54449517,http://example.org/abstract54449517,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_7499590,7499590,http://example.org/abstract7499590,cyberattack; cyberthreat; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_17844093,17844093,http://example.org/abstract17844093,cyberattack; cybertraining; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_212957132,212957132,http://example.org/abstract212957132,cloudsecurity; cybercrime; cybersecurity,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_46353875,46353875,http://example.org/abstract46353875,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_17151778,17151778,http://example.org/abstract17151778,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_86457433,86457433,http://example.org/abstract86457433,cybersecurity; dataprotection; digitalsecurity,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62573077,62573077,http://example.org/abstract62573077,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54904936,54904936,http://example.org/abstract54904936,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_33600953,33600953,http://example.org/abstract33600953,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_60687479,60687479,http://example.org/abstract60687479,cyberthreat; digitalsecurity; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_5790894,5790894,http://example.org/abstract5790894,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_36608732,36608732,http://example.org/abstract36608732,cyberattack; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_2588218,2588218,http://example.org/abstract2588218,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_59767647,59767647,http://example.org/abstract59767647,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62680907,62680907,http://example.org/abstract62680907,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54577431,54577431,http://example.org/abstract54577431,cyberthreat; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_6908432,6908432,http://example.org/abstract6908432,cyberattack; cyberawareness; cybersecurity; cyberworld,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_30324719,30324719,http://example.org/abstract30324719,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_59721388,59721388,http://example.org/abstract59721388,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_31018027,31018027,http://example.org/abstract31018027,cyberattack; cyberawareness; cybersecurity; cyberthreat,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_174809966,174809966,http://example.org/abstract174809966,cyberattack; cyberthreat; iotsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62657748,62657748,http://example.org/abstract62657748,dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_70236279,70236279,http://example.org/abstract70236279,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_15454254,15454254,http://example.org/abstract15454254,cyberawareness; cyberthreat; dataprotection; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_53940145,53940145,http://example.org/abstract53940145,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_46957307,46957307,http://example.org/abstract46957307,cyberdefense; digitalsecurity; malware; privacy,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_53741610,53741610,http://example.org/abstract53741610,cybercrime; cyberthreat; cyberworld; dataprotection; digitalsecurity; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_64092430,64092430,http://example.org/abstract64092430,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62674539,62674539,http://example.org/abstract62674539,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62224580,62224580,http://example.org/abstract62224580,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_33497879,33497879,http://example.org/abstract33497879,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_15026572,15026572,http://example.org/abstract15026572,cyberawareness; cyberworld; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_196105692,196105692,http://example.org/abstract196105692,dataprotection; networksecurity; privacy,Network Attacks,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_155093469,155093469,http://example.org/abstract155093469,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_9719398,9719398,http://example.org/abstract9719398,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_3940319,3940319,http://example.org/abstract3940319,cyberattack; cyberdefense; cyberthreat; digitalsecurity; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_11955714,11955714,http://example.org/abstract11955714,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16233643,16233643,http://example.org/abstract16233643,cloudsecurity; cybersecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16779538,16779538,http://example.org/abstract16779538,cyberattack; cybersecurity; digitalsecurity; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62802992,62802992,http://example.org/abstract62802992,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_6626532,6626532,http://example.org/abstract6626532,cyberattack; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62597804,62597804,http://example.org/abstract62597804,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62581609,62581609,http://example.org/abstract62581609,cyberattack; cyberthreat; malware; privacy,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_102351344,102351344,http://example.org/abstract102351344,dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_208131832,208131832,http://example.org/abstract208131832,cyberattack; cyberawareness; cybercrime; cyberthreat; hacking; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_51692559,51692559,http://example.org/abstract51692559,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_824829,824829,http://example.org/abstract824829,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_12836653,12836653,http://example.org/abstract12836653,cyberdefense; cyberthreat; cyberworld; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54221143,54221143,http://example.org/abstract54221143,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_61674711,61674711,http://example.org/abstract61674711,cyberattack; cybersecurity; cyberworld; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_12195710,12195710,http://example.org/abstract12195710,cyberattack; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_56463380,56463380,http://example.org/abstract56463380,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_64849712,64849712,http://example.org/abstract64849712,cybersecurity; dataprotection; iotsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16676961,16676961,http://example.org/abstract16676961,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_69747344,69747344,http://example.org/abstract69747344,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_203532,203532,http://example.org/abstract203532,cyberattack; cyberthreat; dataprotection; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_53777868,53777868,http://example.org/abstract53777868,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_182212098,182212098,http://example.org/abstract182212098,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_18784858,18784858,http://example.org/abstract18784858,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_196047053,196047053,http://example.org/abstract196047053,cyberattack; cybertraining; cyberworld; dataprotection,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_11506573,11506573,http://example.org/abstract11506573,cyberthreat; dataprotection; digitalsecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_57194840,57194840,http://example.org/abstract57194840,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_26364059,26364059,http://example.org/abstract26364059,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62546463,62546463,http://example.org/abstract62546463,cloudsecurity; cyberthreat; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16962184,16962184,http://example.org/abstract16962184,dataprotection; networksecurity; privacy,Network Attacks,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_209052447,209052447,http://example.org/abstract209052447,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_55004,55004,http://example.org/abstract55004,cyberattack; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_60679458,60679458,http://example.org/abstract60679458,cybercrime; cybersecurity; dataprotection; networksecurity; privacy,Network Attacks,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_145958413,145958413,http://example.org/abstract145958413,cyberworld; dataprotection; digitalsecurity,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_1374134,1374134,http://example.org/abstract1374134,cyberattack; dataprotection; digitalsecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_12226980,12226980,http://example.org/abstract12226980,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62228449,62228449,http://example.org/abstract62228449,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_58703719,58703719,http://example.org/abstract58703719,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_41873953,41873953,http://example.org/abstract41873953,cyberattack; cyberawareness; cybersecurity; cybertraining; dataprotection; digitalsecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_5946873,5946873,http://example.org/abstract5946873,cyberattack; cybersecurity; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_43237909,43237909,http://example.org/abstract43237909,cyberattack; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_9163208,9163208,http://example.org/abstract9163208,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_144057260,144057260,http://example.org/abstract144057260,cyberthreat; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_7261796,7261796,http://example.org/abstract7261796,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_211542461,211542461,http://example.org/abstract211542461,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_14169713,14169713,http://example.org/abstract14169713,cyberthreat; dataprotection; malware; privacy,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_14347267,14347267,http://example.org/abstract14347267,cyberattack; cyberthreat; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_110030617,110030617,http://example.org/abstract110030617,cybersecurity; cyberthreat; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_17292062,17292062,http://example.org/abstract17292062,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
